Gr	1.23	1.77	1.40	1.46	3.62	3.54	2.80	3.35	2.42	2.65	2.10	2.37
WBG	1.15	1.77	1.90	1.59	3.15	3.00	2.60	2.87	2.15	2.38	2.25	2.23
FPX.ZQ	1.00	1.31	2.00	1.40	3.69	2.31	3.00	3.05	2.35	1.81	2.50	2.23
GG	1.43	1.50	1.73	1.54	3.07	2.71	2.64	2.82	2.25	2.11	2.18	2.18
MRC	1.29	1.50	1.64	1.44	3.07	2.79	2.27	2.85	2.18	2.14	1.95	2.15
Wolves	1.62	1.77	1.82	1.72	2.38	2.23	2.36	2.33	2.00	2.00	2.09	2.03
GW	0.77	1.15	1.18	1.03	3.54	2.69	2.82	3.00	2.15	1.92	2.00	2.01
DOU5	1.42	1.58	1.56	1.54	2.42	2.50	2.56	2.46	1.92	2.04	2.06	2.00
ACT	0.92	1.31	1.00	1.10	3.54	2.38	2.58	2.85	2.23	1.85	1.79	1.97
TE	1.07	1.64	1.38	1.37	2.64	2.71	2.23	2.51	1.86	2.18	1.81	1.94
